id;uf;confirmados_num;confirmados_%;total_de_municípios;incidencia_100_mil_hab;semanas_transcorridas_do_ultimo_caso_confirmado;Data_do_exantema_do_último_caso_confirmado_em;2019*
1;São Paulo;16090;88,4;259;42,4;24/12/2019
2;Paraná;760;4,2;41;14,5;31/12/2019
3;Rio de Janeiro;333;1,8;18;2,92;26/12/2019
4;Pernambuco;268;1,5;30;5,98;29/11/2019
5;Santa Catarina;251;1,4;33;9,42;06/12/2019
6;Minas Gerais;135;0,7;41;1,85;20/12/2019
7;Pará;118;0,6;12;3,95;24/12/2019
8;Rio Grande do Sul;64;0,4;10;2,56;22/12/2019
9;Paraíba;52;0,3;17;3,07;26/10/2019
10;Bahia;48;0,3;18;1,11;02/11/2019
11;Alagoas;32;0,18;13;2,29;21/11/2019
12;Ceará;9;0,05;5;0,33;07/10/2019
13;Maranhão;7;0,04;5;0,54;19/09/2019
14;Sergipe;6;0,03;4;5,29;19/10/2019
15;Rio Grande do Norte;6;0,03;5;0,52;04/09/2019
16;Distrito Federal;5;0,03;1;0,18;28/09/2019
17;Goiás;5;0,03;3;0,36;12/08/2019
18;Amazonas;4;0,02;2;0,20;31/01/2019
19;Piauí;3;0,02;3;0,35;29/09/2019
20;Espírito Santo;2;0,01;2;0,56;22/08/2019
21;Mato Grosso do Sul;2;0,01;2;0,21;20/08/2019
22;Amapá;2;0,01;1;0,47;17/09/2019
23;Roraima;1;0,01;1;0,33;09/02/2019